Entry	Gene Names	Protein names	Subcellular location [CC]
Q86YT5	SLC13A5 NACT	Na(+)/citrate cotransporter (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter) (Solute carrier family 13 member 5)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26384929, ECO:0000269|PubMed:30054523}; Multi-pass membrane protein {ECO:0000255}.
Q8IWT1	SCN4B	Sodium channel regulatory subunit beta-4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:24297919}; Single-pass type I membrane protein {ECO:0000269|PubMed:24297919}.
Q8IWV2	CNTN4	Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor. Secreted {ECO:0000250}.
Q8IWY4	SCUBE1	Signal peptide, CUB and EGF-like domain-containing protein 1	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12270931, ECO:0000269|PubMed:16753137}. Cell membrane {ECO:0000269|PubMed:16753137}; Peripheral membrane protein {ECO:0000269|PubMed:16753137}.
Q8IYL9	GPR65 TDAG8	Psychosine receptor (G-protein coupled receptor 65) (T-cell death-associated gene 8 protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8IYR6	TMEFF1 C9orf2	Tomoregulin-1 (TR-1) (H7365) (Transmembrane protein with EGF-like and one follistatin-like domain)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12743596, ECO:0000269|PubMed:39048830}; Single-pass type I membrane protein {ECO:0000255}.
Q8IZP1	TBC1D3 PRC17 TBC1D3A	TBC1 domain family member 3 (Prostate cancer gene 17 protein) (Protein TRE17-alpha) (Rab GTPase-activating protein PRC17)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23578663}; Lipid-anchor {ECO:0000269|PubMed:23578663}. Note=Associated with lipid rafts.
Q8J025	APCDD1 DRAPC1 FP7019	Protein APCDD1 (Adenomatosis polyposis coli down-regulated 1 protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20393562}; Single-pass type I membrane protein {ECO:0000269|PubMed:20393562}.
Q8N104	DEFB106A BD6 DEFB106 DEFB6; DEFB106B	Beta-defensin 106 (Beta-defensin 6) (BD-6) (DEFB-6) (Defensin, beta 106)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Membrane {ECO:0000269|PubMed:23938203}. Note=Associates with tumor cell membrane-derived microvesicles (PubMed:23938203). {ECO:0000269|PubMed:23938203}.
Q8N126	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:38074074}; Single-pass type I membrane protein {ECO:0000255}. Cell junction {ECO:0000269|PubMed:38074074}.
Q8N1M1	BEST3 VMD2L3	Bestrophin-3 (Vitelliform macular dystrophy 2-like protein 3)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8N4F4	SLC22A24	Steroid transmembrane transporter SLC22A24 (Solute carrier family 22 member 24)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Multi-pass membrane protein {ECO:0000269|PubMed:31553721}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Multi-pass membrane protein {ECO:0000269|PubMed:31553721}.
Q8N695	SLC5A8 AIT SMCT SMCT1	Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12107270, ECO:0000269|PubMed:15001644, ECO:0000269|PubMed:17245649}; Multi-pass membrane protein {ECO:0000255}. Note=Expressed at the apical membrane of normal tall thyrocytes and of colonic epithelial cells. {ECO:0000269|PubMed:12107270, ECO:0000269|PubMed:15001644, ECO:0000269|PubMed:17245649}.
Q8N6U8	GPR161	G-protein coupled receptor 161 (G-protein coupled receptor RE2)	SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Mainly localizes to primary cilium in a TULP3 and IFT-A complex-dependent manner. In presence of SHH, it is removed from primary cilia and is internalized into recycling endosomes and is apparently not degraded (By similarity). {ECO:0000250}.
Q8N9M5	TMEM102	Transmembrane protein 102 (Common beta-chain associated protein) (CBAP)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17828305}; Single-pass membrane protein {ECO:0000269|PubMed:17828305}. Note=Although it is found at the cell surface, the majority of the molecules seems to be located in intracellular compartments.
Q8NER1	TRPV1 VR1	Transient receptor potential cation channel subfamily V member 1 (TrpV1) (Capsaicin receptor) (Osm-9-like TRP channel 1) (OTRPC1) (Vanilloid receptor 1)	SUBCELLULAR LOCATION: Postsynaptic cell membrane {ECO:0000250|UniProtKB:O35433}; Multi-pass membrane protein {ECO:0000269|PubMed:37117175}. Cell projection, dendritic spine membrane {ECO:0000250|UniProtKB:O35433}; Multi-pass membrane protein {ECO:0000269|PubMed:37117175}. Cell membrane {ECO:0000269|PubMed:11050376, ECO:0000269|PubMed:11243859, ECO:0000269|PubMed:12077606, ECO:0000269|PubMed:37117175}; Multi-pass membrane protein {ECO:0000269|PubMed:37117175}. Note=Mostly, but not exclusively expressed in postsynaptic dendritic spines. {ECO:0000250|UniProtKB:O35433}.
Q8NET5	NFAM1 CNAIP	NFAT activation molecule 1 (Calcineurin/NFAT-activating ITAM-containing protein) (NFAT-activating protein with ITAM motif 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Partially recruited to lipid rafts upon BCR stimulation. {ECO:0000250}.
Q8NFT8	DNER BET UNQ262/PRO299	Delta and Notch-like epidermal growth factor-related receptor	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=Present on the membrane of dendrites and cell bodies but excluded from axonal membrane. Also found in early endosomes in the somatodendritic region (By similarity). {ECO:0000250}.
Q8NHC4	OR10J5	Olfactory receptor 10J5 (Olfactory receptor OR1-28)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28842679}; Multi-pass membrane protein {ECO:0000255}.
Q8NHL6	LILRB1 ILT2 LIR1 MIR7	Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20448110, ECO:0000269|PubMed:24453251, ECO:0000269|PubMed:29262349, ECO:0000305|PubMed:19658091}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:19658091}.
Q8TCC7	SLC22A8 OAT3	Organic anion transporter 3 (hOAT3) (Organic anion/dicarboxylate exchanger) (Solute carrier family 22 member 8)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:11306713}; Multi-pass membrane protein {ECO:0000305}. Note=Localizes on the brush border membrane of the choroid epithelial cells (By similarity). Localizes to the basolateral membrane of the proximal tubular cells (PubMed:11306713). Localizes on the abluminal and possibly, luminal membrane of the brain capillary endothelial cells (BCEC) (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9R1U7, ECO:0000269|PubMed:11306713}.
Q8TCU3	SLC7A13 AGT1 XAT2	Solute carrier family 7 member 13 (Sodium-independent aspartate/glutamate transporter 1) (X-amino acid transporter 2)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q91WN3}; Multi-pass membrane protein {ECO:0000255}.
Q8TD46	CD200R1 CD200R CRTR2 MOX2R OX2R UNQ2522/PRO6015	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.
Q8TDB8	SLC2A14 GLUT14	Solute carrier family 2, facilitated glucose transporter member 14 (Glucose transporter type 14) (GLUT-14)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27460888}; Multi-pass membrane protein {ECO:0000255}.
Q8TDF5	NETO1 BTCL1	Neuropilin and tolloid-like protein 1 (Brain-specific transmembrane protein containing 2 CUB and 1 LDL-receptor class A domains protein 1)	SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Postsynaptic density membrane {ECO:0000250}. Note=Component of the postsynaptic density (PSD) of excitatory synapses. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000305}.
Q8TDI8	TMC1	Transmembrane channel-like protein 1 (Transmembrane cochlear-expressed protein 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8R4P5}; Multi-pass membrane protein {ECO:0000305}. Note=Localized to the stereocilia tips of the cochlear hair cells. {ECO:0000250|UniProtKB:Q8R4P5}.
Q8TDU6	GPBAR1 TGR5	G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (hGPCR19) (Membrane-type receptor for bile acids) (M-BAR) (hBG37) (BG37)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12524422}; Multi-pass membrane protein {ECO:0000269|PubMed:12524422}.
Q8WUM9	SLC20A1 GLVR1 PIT1	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19726692}; Multi-pass membrane protein {ECO:0000255}.
Q8WXG9	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1	Adhesion G-protein coupled receptor V1 (ADGRV1) (EC 3.4.-.-) (G-protein coupled receptor 98) (Monogenic audiogenic seizure susceptibility protein 1 homolog) (Usher syndrome type-2C protein) (Very large G-protein coupled receptor 1) [Cleaved into: ADGRV1 subunit alpha; ADGRV1 subunit beta]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8VHN7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8VHN7}. Cell projection, stereocilium membrane {ECO:0000250|UniProtKB:Q8VHN7}. Photoreceptor inner segment {ECO:0000250|UniProtKB:Q8VHN7}. Note=Localizes at the ankle region of the stereocilia. In photoreceptors, localizes at a plasma membrane microdomain in the apical inner segment that surrounds the connecting cilia called periciliary membrane complex. {ECO:0000250|UniProtKB:Q8VHN7}.
Q92536	SLC7A6 KIAA0245	Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16785209}; Multi-pass membrane protein {ECO:0000255}.
Q92633	LPAR1 EDG2 LPA1	Lysophosphatidic acid receptor 1 (LPA receptor 1) (LPA-1) (Lysophosphatidic acid receptor Edg-2)	SUBCELLULAR LOCATION: Cell surface {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:25025571}. Cell membrane {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:25025571, ECO:0000269|PubMed:26091040, ECO:0000269|PubMed:9070858}; Multi-pass membrane protein {ECO:0000269|PubMed:19306925, ECO:0000269|PubMed:26091040}. Endosome {ECO:0000269|PubMed:19306925}. Note=Prior to LPA treatment found predominantly at the cell surface. Internalized after LPA treatment. Colocalizes with RALA in endocytic vesicles after LPA treatment. {ECO:0000269|PubMed:19306925}.
Q92854	SEMA4D C9orf164 CD100 SEMAJ	Semaphorin-4D (A8) (BB18) (GR3) (CD antigen CD100)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20877282, ECO:0000269|PubMed:8876214}; Single-pass type I membrane protein {ECO:0000255}.
Q92956	TNFRSF14 HVEA HVEM UNQ329/PRO509	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19915044}; Single-pass type I membrane protein {ECO:0000305}.
Q92982	NINJ1	Ninjurin-1 (hNINJ1) (Nerve injury-induced protein 1) [Cleaved into: Secreted ninjurin-1 (Soluble ninjurin-1)]	SUBCELLULAR LOCATION: [Ninjurin-1]: Cell membrane {ECO:0000269|PubMed:37198476, ECO:0000269|PubMed:38396301, ECO:0000269|PubMed:39667936}; Multi-pass membrane protein {ECO:0000269|PubMed:37198476, ECO:0000269|PubMed:39667936}. Synaptic cell membrane {ECO:0000250|UniProtKB:O70131}; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Secreted ninjurin-1]: Secreted {ECO:0000305|PubMed:32883094}.
Q93038	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 9]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 11]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted.; SUBCELLULAR LOCATION: [Isoform 10]: Secreted.; SUBCELLULAR LOCATION: [Isoform 12]: Secreted.
Q96B86	RGMA RGM	Repulsive guidance molecule A (RGM domain family member A)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Lipid-anchor, GPI-anchor {ECO:0000250}.
Q96E93	KLRG1 CLEC15A MAFA MAFAL	Killer cell lectin-like receptor subfamily G member 1 (C-type lectin domain family 15 member A) (ITIM-containing receptor MAFA-L) (MAFA-like receptor) (Mast cell function-associated antigen)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19604491}; Single-pass type II membrane protein {ECO:0000269|PubMed:19604491}.
Q96FE7	PIK3IP1 HGFL	Phosphoinositide-3-kinase-interacting protein 1 (PI3K-interacting protein 1) (Kringle domain-containing protein HGFL)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19088825}; Single-pass type I membrane protein {ECO:0000255}.
Q96FV3	TSPAN17 FBXO23 TM4SF17	Tetraspanin-17 (Tspan-17) (F-box only protein 23) (Tetraspan protein SB134) (Transmembrane 4 superfamily member 17)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q9D7W4}; Multi-pass membrane protein {ECO:0000255}.
Q96KK4	OR10C1 OR10C2	Olfactory receptor 10C1 (Hs6M1-17) (Olfactory receptor 10C2)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q96KN7	RPGRIP1	X-linked retinitis pigmentosa GTPase regulator-interacting protein 1 (RPGR-interacting protein 1)	SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:21685204}. Note=Situated between the axonemal microtubules and the plasma membrane (By similarity). In the retinal photoreceptor cell layer, localizes at the connecting cilium, a thin bridge linking the cell body and the light-sensing outer segment (By similarity). Colocalizes with RGPR in the photoreceptor connecting cilium (By similarity). {ECO:0000250|UniProtKB:Q9EPQ2}.
Q96P65	QRFPR GPR103	Pyroglutamylated RF-amide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q99250	SCN2A HBA NAC2 SCN2A1 SCN2A2	Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1325650, ECO:0000269|PubMed:17021166, ECO:0000269|PubMed:29844171}; Multi-pass membrane protein {ECO:0000255}.
Q99467	CD180 LY64 RP105	CD180 antigen (Lymphocyte antigen 64) (Radioprotective 105 kDa protein) (CD antigen CD180)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
Q99705	MCHR1 GPR24 SLC1	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:10421367, ECO:0000305|PubMed:15340116}; Multi-pass membrane protein {ECO:0000255}.
Q99706	KIR2DL4 CD158D KIR103AS	Killer cell immunoglobulin-like receptor 2DL4 (CD158 antigen-like family member D) (G9P) (Killer cell inhibitory receptor 103AS) (KIR-103AS) (MHC class I NK cell receptor KIR103AS) (CD antigen CD158d)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Early endosome membrane {ECO:0000269|PubMed:16366734}.
Q9BQ51	PDCD1LG2 B7DC CD273 PDCD1L2 PDL2	Programmed cell death 1 ligand 2 (PD-1 ligand 2) (PD-L2) (PDCD1 ligand 2) (Programmed death ligand 2) (Butyrophilin B7-DC) (B7-DC) (CD antigen CD273)	SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000305|PubMed:15253154}.; SUBCELLULAR LOCATION: [Isoform 2]: Endomembrane system {ECO:0000269|PubMed:15253154}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:15253154}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q9WUL5, ECO:0000305|PubMed:15340161}.
Q9BQS2	SYT15	Synaptotagmin-15 (Chr10Syt) (Synaptotagmin XV) (SytXV)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q9BQS7	HEPH KIAA0698 UNQ2562/PRO6242	Hephaestin (Hp) (EC 1.16.3.1)	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:17486601, ECO:0000269|PubMed:20019163}; Single-pass type I membrane protein {ECO:0000255}.
Q9BTD3	TMEM121 HHOLE	Transmembrane protein 121	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=May localize to the plasma membrane. {ECO:0000269|PubMed:15950185}.
Q9BXA5	SUCNR1 GPR91	Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15141213}; Multi-pass membrane protein {ECO:0000269|PubMed:15141213}.
Q9BY15	ADGRE3 EMR3 UNQ683/PRO1562	Adhesion G protein-coupled receptor E3 (EGF-like module receptor 3) (EGF-like module-containing mucin-like hormone receptor-like 3)	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.
Q9H156	SLITRK2 CXorf2 KIAA1854 SLITL1 UNQ9197/PRO34756	SLIT and NTRK-like protein 2	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:27812321, ECO:0000269|PubMed:35840571}. Cell projection, dendrite {ECO:0000269|PubMed:35840571}.
Q9H244	P2RY12 HORK3	P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11196645, ECO:0000269|PubMed:12578987, ECO:0000269|PubMed:24670650, ECO:0000269|PubMed:24784220}; Multi-pass membrane protein {ECO:0000269|PubMed:11196645, ECO:0000269|PubMed:12578987, ECO:0000269|PubMed:24670650, ECO:0000269|PubMed:24784220}.
Q9H252	KCNH6 ERG2	Voltage-gated inwardly rectifying potassium channel KCNH6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Potassium voltage-gated channel subfamily H member 6) (Voltage-gated potassium channel subunit Kv11.2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q12809}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q12809}.
Q9H2B4	SLC26A1 SAT1	Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P58735}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000250|UniProtKB:P45380}; Multi-pass membrane protein {ECO:0000255}.
Q9H2H9	SLC38A1 ATA1 NAT2 SAT1 SNAT1	Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15054072}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9JM15}. Note=Restricted to the somatodendritic compartment of neurons. Found in the cellular processes of neurons in the developing brain. {ECO:0000250|UniProtKB:Q9JM15}.
Q9H2X9	SLC12A5 KCC2 KIAA1176	Solute carrier family 12 member 5 (Electroneutral potassium-chloride cotransporter 2) (K-Cl cotransporter 2) (hKCC2) (Neuronal K-Cl cotransporter)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q91V14}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q91V14}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q91V14}. Note=Detected on dendrites, but not on axons of spinal cord neurons and at GPHN-positive inhibitory synapses. {ECO:0000250|UniProtKB:Q91V14}.
Q9H310	RHBG	Ammonium transporter Rh type B (Rhesus blood group family type B glycoprotein) (Rh family type B glycoprotein) (Rh type B glycoprotein)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11024028, ECO:0000269|PubMed:15929723}; Multi-pass membrane protein. Basolateral cell membrane {ECO:0000269|PubMed:15611082}; Multi-pass membrane protein {ECO:0000255}.
Q9H3N8	HRH4 GPCR105	Histamine H4 receptor (H4R) (HH4R) (AXOR35) (G-protein coupled receptor 105) (GPRv53) (Pfi-013) (SP9144)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:34439793}; Multi-pass membrane protein.
Q9HAB3	SLC52A2 GPR172A PAR1 RFT3	Solute carrier family 52, riboflavin transporter, member 2 (Porcine endogenous retrovirus A receptor 1) (PERV-A receptor 1) (Protein GPR172A) (Riboflavin transporter 3) (hRFT3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17197387, ECO:0000269|PubMed:20463145, ECO:0000269|PubMed:24253200, ECO:0000269|PubMed:27702554}; Multi-pass membrane protein {ECO:0000255}.
Q9HBW1	LRRC4 BAG NAG14 UNQ554/PRO1111	Leucine-rich repeat-containing protein 4 (Brain tumor-associated protein BAG) (Nasopharyngeal carcinoma-associated gene 14 protein) (Netrin-G2 ligand) (NGL-2)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Postsynaptic cell membrane {ECO:0000250}. Note=LRRC4 and DLG4 are interdependent for synaptic localization. {ECO:0000250}.
Q9HBY0	NOX3 MOX2	NADPH oxidase 3 (EC 1.6.3.-) (Mitogenic oxidase 2) (MOX-2) (gp91phox homolog 3) (GP91-3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q672J9}; Multi-pass membrane protein {ECO:0000255}.
Q9HC58	SLC24A3 NCKX3	Sodium/potassium/calcium exchanger 3 (Na(+)/K(+)/Ca(2+)-exchange protein 3) (Solute carrier family 24 member 3)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:26631410}; Multi-pass membrane protein {ECO:0000255}.
Q9HCJ1	ANKH KIAA1581 UNQ241/PRO274	Mineralization regulator ANKH (ATP carrier protein ANKH) (Progressive ankylosis protein homolog) (ANK)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20943778}; Multi-pass membrane protein {ECO:0000255}.
Q9HCM2	PLXNA4 KIAA1550 PLXNA4A PLXNA4B UNQ2820/PRO34003	Plexin-A4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q9N2K0		HERV-H_2q24.3 provirus ancestral Env polyprotein (Env protein HERV-H/p62) (Env protein HERV-H19) (Env protein HERV-Hcl.3) (Envelope polyprotein) (HERV-H/env62) [Cleaved into: Surface protein (SU); Transmembrane protein (TM)]	SUBCELLULAR LOCATION: Virion.; SUBCELLULAR LOCATION: [Transmembrane protein]: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9NP91	SLC6A20 SIT1 XT3 XTRP3	Sodium- and chloride-dependent transporter XTRP3 (Sodium/imino-acid transporter 1) (Solute carrier family 6 member 20) (Transporter rB21A homolog)	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q8VDB9}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8VDB9}. Note=Located in the apical brush border membrane of kidney proximal tubule cells and in the apical membrane of enterocytes lining the intestinal villi. {ECO:0000250|UniProtKB:Q8VDB9}.
Q9NP94	SLC39A2 ZIP2	Zinc transporter ZIP2 (6A1) (Eti-1) (Solute carrier family 39 member 2) (Zrt- and Irt-like protein 2) (ZIP-2) (hZIP2)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10681536, ECO:0000269|PubMed:30914478}; Multi-pass membrane protein {ECO:0000255}.
